Configuration,Workload,Latency,Energy,Throughput,Delay,Time
Edge,Low,Low,306075.6042,160.0,12.5169,346
Edge,Low,High,306075.6042,160.0,12.565,346
Edge,Medium,Low,380137.1881,200.0,12.5169,381
Edge,Medium,High,380137.1881,200.0,12.565,381
Edge,High,Low,504923.4573,266.67,12.5169,457
Edge,High,High,504923.4573,266.67,12.565,457

Router,Low,Low,209059.2812,160.0,34.110,335
Router,Low,High,194976.2213,160.0,114.177,268
Router,Medium,Low,250397.7696,200.0,34.110,305
Router,Medium,High,248184.4279,200.0,114.177,311
Router,High,Low,323478.9873,266.67,34.110,274
Router,High,High,322105.567,266.67,114.177,349

Server,Low,Low,194485.5744,160.0,54.101,285
Server,Low,High,192632.4939,160.0,214.165,292
Server,Medium,Low,249808.7341,200.0,54.101,336
Server,Medium,High,259347.3952,200.0,214.165,322
Server,High,Low,324424.7672,266.67,54.101,351
Server,High,High,316728.1983,266.67,214.165,399

Cloud,Low,Low,186698.5265,160.0,249.421,329
Cloud,Low,High,192183.7062,160.0,409.421,380
Cloud,Medium,Low,242541.1994,200.0,249.421,369
Cloud,Medium,High,237668.7308,200.0,409.421,393
Cloud,High,Low,311485.6574,266.67,249.421,495
Cloud,High,High,307271.9833,266.67,409.421,566

Balanced,Low,Low,200803.5512,160.0,54.097,257
Balanced,Low,High,193327.2642,160.0,214.097,240
Balanced,Medium,Low,244536.0634,200.0,54.097,290
Balanced,Medium,High,240668.581,200.0,214.097,278
Balanced,High,Low,321223.3019,266.67,54.097,344
Balanced,High,High,314004.8653,266.67,214.097,390
