Configuration,Workload,Latency,Energy,Throughput,Delay,Time
Edge,Low,Low,508553.2888,120.0,18.342,1380
Edge,Low,High,508553.2888,120.0,18.342,1524
Edge,Medium,Low,508367.9592,150.0,13.243,2370
Edge,Medium,High,508367.9592,150.0,13.243,2362
Edge,High,Low,509278.2027,200.0,12.643,5691
Edge,High,High,509278.2027,200.0,12.643,5473

Router,Low,Low,448817.4616,120.0,12.718,458
Router,Low,High,439199.6517,120.0,52.852,600
Router,Medium,Low,561234.6052,150.0,12.719,511
Router,Medium,High,549631.6785,150.0,52.776,553
Router,High,Low,701607.0101,200.0,12.399,993
Router,High,High,688555.6815,200.0,52.698,954

Server,Low,Low,446665.9105,120.0,22.896,464
Server,Low,High,427744.3091,120.0,102.707,545
Server,Medium,Low,558396.6339,150.0,22.226,620
Server,Medium,High,535187.5149,150.0,102.385,622
Server,High,Low,698628.7074,200.0,22.270,829
Server,High,High,671371.0637,200.0,102.286,910

Cloud,Low,Low,439524.1784,120.0,30.665,522
Cloud,Low,High,412307.07,120.0,150.859,446
Cloud,Medium,Low,549692.3361,150.0,30.816,551
Cloud,Medium,High,515214.2213,150.0,150.822,534
Cloud,High,Low,688157.6896,200.0,30.679,867
Cloud,High,High,647959.9975,200.0,150.702,952

Balanced,Low,Low,447134.7541,120.0,22.902,387
Balanced,Low,High,430024.4621,120.0,102.742,483
Balanced,Medium,Low,558906.7218,150.0,22.396,489
Balanced,Medium,High,537958.3348,150.0,102.711,521
Balanced,High,Low,699502.5125,200.0,22.165,767
Balanced,High,High,674552.2372,200.0,102.373,717
